epoch,epoch_loss,cls_loss,boxreg_loss,train-mAP@50:,train-mAP@50-95,test-mAP@50:,test-mAP@50-95
1,29.6737,12.3634,3.8684,0.0024,0.0013,0.0015,0.0010
2,22.8486,9.5750,5.3494,0.0172,0.0080,0.0760,0.0319
3,21.7028,10.0770,5.9761,0.0375,0.0150,0.1122,0.0464
4,21.2086,10.2028,6.2694,0.0569,0.0239,0.1899,0.0863
5,20.6443,10.0894,6.4892,0.0815,0.0329,0.1878,0.0865
6,19.8515,9.8297,6.7621,0.1253,0.0555,0.2593,0.1192
7,18.8989,9.1235,6.7612,0.1903,0.0889,0.4219,0.2094
8,17.9252,8.3693,6.7464,0.2583,0.1155,0.4511,0.2233
9,16.7020,7.4125,6.6588,0.3185,0.1405,0.5032,0.2549
10,15.6413,6.6417,6.5076,0.4077,0.1872,0.5320,0.2868
11,14.9912,6.0315,6.5982,0.4553,0.2148,0.5673,0.2800
12,13.7889,5.2542,6.2283,0.5122,0.2417,0.5518,0.2527
13,12.8520,4.6967,6.0258,0.6422,0.3082,0.5558,0.2658
14,11.8976,4.1119,5.7863,0.6692,0.3121,0.5881,0.2825
15,11.3294,3.6409,5.7234,0.7245,0.3497,0.5999,0.3030
16,10.8794,3.3303,5.4670,0.7960,0.4113,0.5323,0.2904
17,9.4813,2.8243,5.1148,0.8102,0.4103,0.5982,0.2923
18,9.2392,2.6129,5.0714,0.8503,0.4404,0.5933,0.3077
19,8.4798,2.3163,4.7680,0.8871,0.4658,0.5774,0.2791
20,8.1576,2.1422,4.6321,0.8902,0.4859,0.5333,0.2661
21,7.9245,2.0310,4.5154,0.9050,0.4931,0.5901,0.3058
22,7.9375,1.9693,4.4242,0.9106,0.4766,0.5880,0.2889
23,7.4132,1.8155,4.2680,0.9111,0.4960,0.5977,0.3265
24,7.1982,1.7473,4.1706,0.9294,0.5290,0.6146,0.3251
25,6.4991,1.5659,3.8232,0.9256,0.5022,0.6100,0.3429
26,6.3464,1.5143,3.7945,0.9311,0.5398,0.6390,0.3356
27,6.0303,1.3705,3.5624,0.9377,0.5448,0.6514,0.3666
28,5.9103,1.3725,3.4757,0.9403,0.5269,0.5917,0.3165
29,5.6969,1.2656,3.3476,0.9391,0.5655,0.6518,0.3649
30,5.3735,1.2342,3.2348,0.9429,0.5714,0.6275,0.3539
31,5.2749,1.2292,3.1825,0.9454,0.5781,0.6553,0.3637
32,4.9555,1.1351,3.0047,0.9484,0.5712,0.6636,0.3470
33,5.0178,1.0988,3.0339,0.9455,0.5617,0.6001,0.3475
34,4.9443,1.0991,2.9825,0.9484,0.5726,0.6298,0.3521
35,4.8405,1.0889,2.9367,0.9473,0.5801,0.6593,0.3640
36,4.7259,1.0741,2.8218,0.9485,0.5919,0.6472,0.3878
37,4.5785,1.0395,2.7810,0.9487,0.5967,0.6052,0.3243
38,4.3795,1.0046,2.6685,0.9496,0.5989,0.6537,0.3831
39,4.3904,1.0005,2.6469,0.9512,0.5973,0.6070,0.3476
40,4.0390,0.9207,2.4273,0.9504,0.5959,0.5660,0.3075
41,4.1287,0.9298,2.4808,0.9503,0.5966,0.5977,0.3466
42,4.0643,0.9307,2.4614,0.9484,0.6071,0.6187,0.3520
43,4.0871,0.9050,2.4385,0.9517,0.6117,0.5963,0.3218
44,4.3775,0.9399,2.5469,0.9505,0.5963,0.5679,0.3271
45,4.2321,0.9227,2.4840,0.9502,0.6086,0.6228,0.3545
46,3.7937,0.8832,2.2723,0.9515,0.6082,0.5750,0.3215
47,3.8224,0.8672,2.3170,0.9510,0.6032,0.5790,0.3245
48,3.1026,0.7556,1.8549,0.9511,0.6517,0.6218,0.3573
49,2.5707,0.7023,1.4472,0.9513,0.6709,0.6325,0.3743
50,2.3202,0.6501,1.2635,0.9521,0.6985,0.6227,0.3584
51,2.1234,0.5991,1.1372,0.9522,0.7169,0.6255,0.3593
52,2.0493,0.6003,1.0521,0.9522,0.7328,0.6311,0.3641
53,1.9205,0.5810,0.9864,0.9521,0.7422,0.6198,0.3462
54,1.8883,0.5899,0.9263,0.9523,0.7681,0.6314,0.3635
55,1.7983,0.5566,0.8788,0.9522,0.7814,0.6320,0.3691
56,1.8132,0.5931,0.8539,0.9522,0.7897,0.6299,0.3583
57,1.7716,0.5845,0.8163,0.9523,0.8060,0.6309,0.3588
58,1.6873,0.5468,0.7998,0.9523,0.8124,0.6293,0.3465
59,1.6614,0.5594,0.7780,0.9523,0.8141,0.6300,0.3588
60,1.6657,0.5681,0.7597,0.9523,0.8262,0.6267,0.3573
61,1.6555,0.5615,0.7479,0.9522,0.8331,0.6295,0.3588
62,1.6259,0.5440,0.7380,0.9523,0.8432,0.6230,0.3552
63,1.6030,0.5286,0.7254,0.9523,0.8303,0.6295,0.3586
64,1.5394,0.5113,0.7131,0.9523,0.8427,0.6207,0.3546
65,1.5650,0.5305,0.6962,0.9523,0.8398,0.6207,0.3548
66,1.5390,0.5276,0.6896,0.9523,0.8494,0.6241,0.3476
67,1.4992,0.5013,0.6768,0.9523,0.8473,0.6241,0.3479
68,1.5130,0.5111,0.6729,0.9523,0.8488,0.6251,0.3569
69,1.4941,0.4988,0.6679,0.9523,0.8527,0.6251,0.3569
70,1.4655,0.4988,0.6589,0.9523,0.8533,0.6233,0.3606
71,1.4876,0.5173,0.6487,0.9523,0.8567,0.6218,0.3599
72,1.4451,0.4821,0.6514,0.9523,0.8513,0.6110,0.3521
73,1.5012,0.5295,0.6480,0.9523,0.8590,0.6131,0.3543
74,1.4500,0.4972,0.6316,0.9523,0.8569,0.6154,0.3548
75,1.4470,0.4987,0.6267,0.9523,0.8609,0.6107,0.3520
76,1.4108,0.4881,0.6269,0.9523,0.8580,0.6088,0.3531
77,1.4343,0.4937,0.6188,0.9523,0.8595,0.6037,0.3467
78,1.4432,0.4992,0.6164,0.9523,0.8643,0.6131,0.3496
79,1.3904,0.4694,0.6046,0.9523,0.8668,0.6126,0.3480
80,1.4068,0.5024,0.6023,0.9523,0.8650,0.6118,0.3481
81,1.4020,0.4998,0.5961,0.9523,0.8600,0.6157,0.3505
82,1.3944,0.5015,0.5943,0.9523,0.8628,0.6132,0.3484
83,1.4118,0.5101,0.5891,0.9523,0.8676,0.6173,0.3498
84,1.3553,0.4853,0.5860,0.9522,0.8684,0.6103,0.3474
85,1.3987,0.5111,0.5813,0.9524,0.8674,0.6077,0.3400
