epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1438,1.55444,12.5912,0.9762,0.38583,0.33193,0.22739,0.15649,1.16886,2.74133,0.87883,0.000131429,0.000131429,0.000131429
2,18.3594,1.345,3.14204,0.92408,0.60765,0.42857,0.48311,0.32013,1.18338,2.15415,0.90034,0.000262141,0.000262141,0.000262141
3,26.5181,1.299,2.10073,0.93112,0.57147,0.61123,0.5643,0.39901,1.10656,1.75997,0.91859,0.000390213,0.000390213,0.000390213
4,35.0272,1.29775,1.58829,0.91899,0.56588,0.66487,0.69332,0.49777,1.07698,1.42415,0.90596,0.00038812,0.00038812,0.00038812
5,43.3666,1.23896,1.3044,0.91074,0.71724,0.62054,0.73259,0.52182,1.09064,1.36567,0.92355,0.00038416,0.00038416,0.00038416
6,51.5393,1.21385,1.15229,0.90994,0.63105,0.69728,0.6935,0.48716,1.1312,1.42816,0.91424,0.0003802,0.0003802,0.0003802
7,59.9155,1.20281,1.05474,0.91204,0.6405,0.64324,0.66997,0.4702,1.16869,1.32673,0.91711,0.00037624,0.00037624,0.00037624
8,68.2476,1.16016,0.94305,0.89658,0.78344,0.57632,0.69945,0.48233,1.11718,1.27875,0.91389,0.00037228,0.00037228,0.00037228
9,76.6371,1.13604,0.89594,0.89769,0.75607,0.64845,0.72706,0.53804,1.1522,1.36871,0.90486,0.00036832,0.00036832,0.00036832
10,84.9007,1.12959,0.87405,0.88653,0.72506,0.70501,0.75588,0.54128,1.14726,1.19283,0.90689,0.00036436,0.00036436,0.00036436
11,93.2865,1.1159,0.82611,0.88292,0.70197,0.64009,0.689,0.481,1.11508,1.31887,0.91208,0.0003604,0.0003604,0.0003604
12,101.507,1.09058,0.78389,0.87902,0.60922,0.69123,0.74105,0.52396,1.07619,1.32251,0.89705,0.00035644,0.00035644,0.00035644
13,109.772,1.08647,0.72472,0.87804,0.68851,0.65401,0.74729,0.50527,1.08241,1.10757,0.91333,0.00035248,0.00035248,0.00035248
14,118.255,1.05843,0.70263,0.88117,0.77547,0.69455,0.77251,0.54913,1.13826,1.1726,0.92044,0.00034852,0.00034852,0.00034852
15,126.626,1.047,0.68579,0.87187,0.59213,0.69062,0.70315,0.48735,1.05467,1.20213,0.89878,0.00034456,0.00034456,0.00034456
16,134.918,1.02942,0.67252,0.87712,0.73322,0.69429,0.7517,0.52952,1.13416,1.16768,0.93037,0.0003406,0.0003406,0.0003406
17,143.432,1.02484,0.65875,0.86132,0.7806,0.66237,0.75885,0.55115,1.11109,1.21785,0.91609,0.00033664,0.00033664,0.00033664
18,151.747,1.00641,0.65464,0.86224,0.77542,0.65799,0.74039,0.53936,1.06777,1.1746,0.90508,0.00033268,0.00033268,0.00033268
19,159.934,0.99796,0.64083,0.85848,0.70408,0.68697,0.76064,0.55174,1.05136,1.12781,0.90298,0.00032872,0.00032872,0.00032872
20,168.251,0.99533,0.61324,0.86267,0.83473,0.60474,0.81878,0.60375,1.06343,1.06241,0.92006,0.00032476,0.00032476,0.00032476
21,176.482,0.96109,0.60587,0.85524,0.69167,0.7055,0.75647,0.52483,1.11708,1.24139,0.91424,0.0003208,0.0003208,0.0003208
22,184.825,0.96472,0.61356,0.85284,0.66605,0.70469,0.76207,0.54832,1.0595,1.06821,0.90076,0.00031684,0.00031684,0.00031684
23,193.168,0.93557,0.59619,0.8435,0.73876,0.67781,0.75703,0.55114,1.09843,1.18211,0.92014,0.00031288,0.00031288,0.00031288
24,201.506,0.9258,0.56391,0.84164,0.76445,0.71693,0.77887,0.56638,1.07401,1.12575,0.91077,0.00030892,0.00030892,0.00030892
25,209.922,0.92925,0.56168,0.85207,0.77612,0.74702,0.77301,0.52596,1.12275,1.07303,0.91116,0.00030496,0.00030496,0.00030496
26,217.955,0.9364,0.5675,0.84797,0.79072,0.71649,0.85127,0.58648,1.10314,1.0111,0.90888,0.000301,0.000301,0.000301
27,226.331,0.90878,0.55326,0.84765,0.75652,0.68591,0.72893,0.5058,1.13334,1.23359,0.92284,0.00029704,0.00029704,0.00029704
28,234.713,0.90484,0.54448,0.83123,0.79515,0.7428,0.77912,0.55043,1.10847,1.02821,0.91143,0.00029308,0.00029308,0.00029308
29,242.905,0.89668,0.54878,0.83943,0.82138,0.65518,0.75013,0.53862,1.12065,1.07322,0.92223,0.00028912,0.00028912,0.00028912
30,251.344,0.87087,0.5225,0.83288,0.7451,0.68194,0.77474,0.55485,1.11158,1.02319,0.92304,0.00028516,0.00028516,0.00028516
31,259.728,0.8822,0.52047,0.83684,0.77597,0.71785,0.75827,0.55685,1.10619,1.13235,0.93665,0.0002812,0.0002812,0.0002812
32,268.077,0.85264,0.50529,0.83511,0.74322,0.68215,0.74272,0.54503,1.11616,1.10495,0.92652,0.00027724,0.00027724,0.00027724
33,276.581,0.84576,0.5077,0.8305,0.71471,0.75245,0.78201,0.55234,1.1207,1.00457,0.92642,0.00027328,0.00027328,0.00027328
